word,n,name,rf
don,61,Amy Schumer,0.015774502198086373
guys,58,Amy Schumer,0.014998707008016551
um,54,Amy Schumer,0.013964313421256789
guy,41,Amy Schumer,0.01060253426428756
uh,39,Amy Schumer,0.01008533747090768
gonna,38,Amy Schumer,0.00982673907421774
fuck,35,Amy Schumer,0.009050943884147919
girl,35,Amy Schumer,0.009050943884147919
people,33,Amy Schumer,0.008533747090768037
love,32,Amy Schumer,0.008275148694078097
yeah,32,Amy Schumer,0.008275148694078097
time,25,Amy Schumer,0.006464959917248513
god,23,Amy Schumer,0.005947763123868632
sex,23,Amy Schumer,0.005947763123868632
fucking,21,Amy Schumer,0.005430566330488751
girls,21,Amy Schumer,0.005430566330488751
amy,20,Amy Schumer,0.00517196793379881
feel,18,Amy Schumer,0.004654771140418929
thinking,18,Amy Schumer,0.004654771140418929
beautiful,17,Amy Schumer,0.004396172743728989
movie,17,Amy Schumer,0.004396172743728989
squish,17,Amy Schumer,0.004396172743728989
trap,17,Amy Schumer,0.004396172743728989
beez,16,Amy Schumer,0.004137574347039048
mom,16,Amy Schumer,0.004137574347039048
didn,15,Amy Schumer,0.003878975950349108
night,15,Amy Schumer,0.003878975950349108
person,15,Amy Schumer,0.003878975950349108
shit,15,Amy Schumer,0.003878975950349108
head,14,Amy Schumer,0.0036203775536591673
pussy,14,Amy Schumer,0.0036203775536591673
real,14,Amy Schumer,0.0036203775536591673
hot,13,Amy Schumer,0.0033617791569692267
walk,13,Amy Schumer,0.0033617791569692267
dick,12,Amy Schumer,0.0031031807602792862
food,12,Amy Schumer,0.0031031807602792862
talking,12,Amy Schumer,0.0031031807602792862
cum,11,Amy Schumer,0.0028445823635893457
day,11,Amy Schumer,0.0028445823635893457
doesn,11,Amy Schumer,0.0028445823635893457
family,11,Amy Schumer,0.0028445823635893457
body,10,Amy Schumer,0.002585983966899405
cool,10,Amy Schumer,0.002585983966899405
fun,10,Amy Schumer,0.002585983966899405
ain,9,Amy Schumer,0.0023273855702094647
gross,9,Amy Schumer,0.0023273855702094647
hear,9,Amy Schumer,0.0023273855702094647
ugh,9,Amy Schumer,0.0023273855702094647
women,9,Amy Schumer,0.0023273855702094647
20s,8,Amy Schumer,0.002068787173519524
bad,8,Amy Schumer,0.002068787173519524
call,8,Amy Schumer,0.002068787173519524
dating,8,Amy Schumer,0.002068787173519524
fine,8,Amy Schumer,0.002068787173519524
funny,8,Amy Schumer,0.002068787173519524
guess,8,Amy Schumer,0.002068787173519524
gun,8,Amy Schumer,0.002068787173519524
home,8,Amy Schumer,0.002068787173519524
looked,8,Amy Schumer,0.002068787173519524
mouth,8,Amy Schumer,0.002068787173519524
nothin,8,Amy Schumer,0.002068787173519524
answer,7,Amy Schumer,0.0018101887768295836
