Comedian,Rolling Stone,Ranker,Paste,Avg,adjustment,adj_avg
Richard Pryor,1,3,1,1.6666666666666667,0,1.6666666666666667
George Carlin,2,1,3,2,0,2
Chris Rock,5,7,2,4.666666666666667,0,4.666666666666667
Louis CK,4,4,12,6.666666666666667,0,6.666666666666667
Dave Chappelle,9,5,10,8,0,8
Steve Martin,11,8,6,8.333333333333334,0,8.333333333333334
Mort Sahl,10,NA,8,9,1,13.499999999999998
Robin Williams,12,2,14,9.333333333333334,0,9.333333333333334
Steven Wright,15,15,9,13,0,13
Bill Cosby,8,18,NA,13,1,19.499999999999996
Eddie Murphy,25,6,11,14,0,14
Bill Burr,17,11,NA,14,1,20.999999999999996
Lewis Black,NA,14,NA,14,2,41.99999999999999
Lenny Bruce,3,31,13,15.666666666666666,0,15.666666666666666
Billy Connolly,16,NA,NA,16,2,47.99999999999999
Bill Hicks,13,17,18,16,0,16
Lily Tomlin,NA,NA,16,16,2,47.99999999999999
Bob Newhart,21,26,7,18,0,18
Mitch Hedberg,20,12,22,18,0,18
Joan Rivers,6,46,5,19,0,19
Ricky Gervais,NA,19,NA,19,2,56.99999999999999
Albert Brooks,19,NA,21,20,1,29.999999999999996
Rodney Dangerfield,26,10,27,21,0,21
Don Rickles,23,20,20,21,0,21
Jim Carrey,NA,21,NA,21,2,62.99999999999999
Redd Foxx,27,22,17,22,0,22
Jerry Seinfeld,7,9,50,22,0,22
Andy Kaufman,14,49,6,23,0,23
Eddie Izzard,24,NA,NA,24,2,71.99999999999999
Zach Galifianakis,NA,24,NA,24,2,71.99999999999999
Dick Gregory,29,NA,23,26,1,38.99999999999999
Kevin Hart,18,13,48,26.333333333333332,0,26.333333333333332
Robert Klein,28,NA,25,26.5,1,39.74999999999999
Moms Mabley,39,NA,15,27,1,40.49999999999999
Norm McDonald,NA,23,31,27,1,40.49999999999999
Jim Gaffigan,NA,16,40,28,1,41.99999999999999
Will Ferrell,NA,29,NA,29,2,86.99999999999999
Garry Shandling,40,NA,19,29.5,1,44.24999999999999
Woody Allen,30,NA,NA,30,2,89.99999999999999
Jonathan Winters,22,44,24,30,0,30
Bernie Mac,41,25,30,32,0,32
Roseanne Barr,38,NA,26,32,1,47.99999999999999
Sam Kinison,37,27,NA,32,1,47.99999999999999
Patrice O'Neal,32,NA,NA,32,2,95.99999999999999
Billy Crystal,NA,32,NA,32,2,95.99999999999999
Janeane Garofalo,33,NA,NA,33,2,98.99999999999999
Mel Brooks,NA,33,NA,33,2,98.99999999999999
Maria Bamford,NA,NA,34,34,2,101.99999999999999
Ellen Degeneres,NA,39,29,34,1,50.99999999999999
Ron White,NA,34,NA,34,2,101.99999999999999
Phyllis Diller,42,NA,28,35,1,52.49999999999999
Tig Notaro,35,NA,NA,35,2,104.99999999999999
Patton Oswalt,34,28,43,35,0,35
Hannibal Burress,NA,NA,35,35,2,104.99999999999999
Bill Murray,NA,35,NA,35,2,104.99999999999999
Sarah Silverman,31,43,32,35.333333333333336,0,35.333333333333336
Daniel Kitson,36,NA,NA,36,2,107.99999999999999
Paul Mooney,NA,NA,36,36,2,107.99999999999999
Johnny Carson,NA,36,NA,36,2,107.99999999999999
Whoopi Goldberg,NA,NA,37,37,2,110.99999999999999
Jim Jefferies,NA,37,NA,37,2,110.99999999999999
Aziz Ansari,49,30,33,37.333333333333336,0,37.333333333333336
George Burns,NA,NA,38,38,2,113.99999999999999
Jon Stewart,NA,38,NA,38,2,113.99999999999999
Henny Youngman,NA,NA,39,39,2,116.99999999999999
Chris Farley,NA,40,NA,40,2,119.99999999999999
Gilbert Gottfried,NA,NA,41,41,2,122.99999999999999
Daniel Tosh,NA,41,NA,41,2,122.99999999999999
Todd Barry,NA,NA,42,42,2,125.99999999999999
Craig Ferguson,NA,42,NA,42,2,125.99999999999999
Amy Schumer,43,NA,NA,43,2,128.99999999999997
Russell Peters,44,NA,NA,44,2,131.99999999999997
Freddie Prinze,45,NA,NA,45,2,134.99999999999997
Gabriel Iglesias,NA,45,NA,45,2,134.99999999999997
Reggie Watts,46,NA,NA,46,2,137.99999999999997
John Mulaney,NA,NA,46,46,2,137.99999999999997
Margaret Cho,48,NA,45,46.5,1,69.74999999999999
Wanda Sykes,50,NA,44,47,1,70.49999999999999
Elayne Boosler,47,NA,NA,47,2,140.99999999999997
Paul F Tompkins,NA,NA,47,47,2,140.99999999999997
Bob Hope,NA,48,NA,48,2,143.99999999999997
Mike Birbiglia,NA,NA,49,49,2,146.99999999999997
Dave Attell,NA,50,NA,50,2,149.99999999999997
