Date	Venue	Location	Ignore
Jun 08	Webster Hall	New York, NY	 I Was There
Mar 04	Royal Farms Arena	Baltimore, MD	 I Was There
Mar 03	The Grand Theater at Foxwoods Resort Casino	Mashantucket, CT	 I Was There
Feb 18	Canadian Tire Centre	Ottawa, Canada	 I Was There
Feb 17	Centre Bell Centre	Montreal, Canada	 I Was There
Feb 16	Air Canada Centre	Toronto, Canada	 I Was There
Dec 31, 2016	Smoothie King Center	New Orleans, LA	 I Was There
Dec 03, 2016	Valley View Casino Center	San Diego, CA	 I Was There
Dec 02, 2016	Rogers Arena	Vancouver, Canada	 I Was There
Dec 01, 2016	Moda Center	Portland, OR	 I Was There
Nov 30, 2016	Rogers Place	Edmonton, Canada	 I Was There
Nov 29, 2016	Scotiabank Saddledome	Calgary, Canada	 I Was There
Nov 26, 2016	UIC Pavilion	Chicago, IL	 I Was There
Nov 25, 2016	Allstate Arena	Chicago, IL	 I Was There
Nov 20, 2016	Toyota Center	Houston, TX	 I Was There
Nov 19, 2016	Choctaw Grand Theater	Durant, OK	 I Was There
Nov 18, 2016	Erwin Center	Austin, TX	 I Was There
Nov 12, 2016	Royal Farms Arena	Baltimore, MD	 I Was There
Nov 11, 2016	Centre Bell Centre	Montreal, Canada	 I Was There
Nov 10, 2016	Canadian Tire Centre	Ottawa, Canada	 I Was There	
Nov 09, 2016	Air Canada Centre	Toronto, Canada	 I Was There
Nov 05, 2016	Bellco Theatre	Denver, CO	 I Was There
Nov 03, 2016	Sprint Center	Kansas City, MO	 I Was There
Oct 23, 2016	The Forum	Inglewood, CA	 I Was There
Oct 22, 2016	Gila River Arena	Glendale, AZ	 I Was There
Oct 20, 2016	Oracle Arena	Oakland, CA	 I Was There
Oct 18, 2016	Madison Square Garden	New York, NY	 I Was There
Oct 16, 2016	Amalie Arena	Tampa, FL	 I Was There
Oct 15, 2016	Philips Arena	Atlanta, GA	 I Was There
Oct 13, 2016	Savannah Civic Center	Savannah, GA	 I Was There
Oct 09, 2016	Bankers Life Fieldhouse	Indianapolis, IN	 I Was There
Oct 08, 2016	BB&T Arena	Highland Heights, KY	 I Was There
Oct 07, 2016	Joe Louis Arena	Detroit, MI	 I Was There
Oct 06, 2016	Quicken Loans Arena	Cleveland, OH	 I Was There
Oct 05, 2016	Wings Event Center	Kalamazoo, MI	 I Was There
Oct 01, 2016	The Oncenter War Memorial Arena	Syracuse, NY	 I Was There
Sep 30, 2016	MassMutual Center	Springfield, MA	 I Was There
Sep 29, 2016	TD Garden	Boston, MA	 I Was There
Sep 28, 2016	Prudential Center	Newark, NJ	 I Was There
Sep 24, 2016	Wells Fargo Center	Philadelphia, PA	 I Was There	
Sep 23, 2016	Capital One Arena	Washington, DC	 I Was There
Sep 17, 2016	Santa Barbara Bowl	Santa Barbara, CA	 I Was There
Sep 16, 2016	Irvine Meadows Amphitheatre	Irvine, CA	 I Was There
Sep 15, 2016	Vina Robles Amphitheatre	Paso Robles, CA	 I Was There
Sep 04, 2016	The O2	London, United Kingdom	 I Was There
Sep 03, 2016	O2 Apollo Manchester	Manchester, United Kingdom	 I Was There
Aug 30, 2016	Edinburgh Playhouse	Edinburgh, United Kingdom	 I Was There
Aug 28, 2016	AFAS Live	Amsterdam, Netherlands	 I Was There
Apr 30, 2016	Rupp Arena	Lexington, KY	 I Was There
Feb 18, 2016	Constellation	Chicago, IL	 I Was There
Dec 18, 2015	Scottrade Center	St Louis, MO	 I Was There
Nov 13, 2015	DONALD L. TUCKER CIVIC CENTER	Tallahassee, FL	 I Was There
Oct 18, 2015	Gexa Energy Pavilion	Dallas, TX	 I Was There
Oct 17, 2015	Austin360 Amphitheatre	Austin, TX	 I Was There
