Date	Venue	Location	Ignore
Nov 05	Meyer Theatre	Green Bay, WI	 I Was There
Nov 04	Riverside Theatre	Milwaukee, WI	 I Was There
Nov 03	Riverside Theatre	Milwaukee, WI	 I Was There
Oct 21	ACL Live at the Moody Theater	Austin, TX	 I Was There
Oct 20	ACL Live at the Moody Theater	Austin, TX	 I Was There
Oct 06	The Mahaffey Theater	St Petersburg, FL	 I Was There
Oct 03	The Main Room	West Hollywood, CA	 I Was There
Sep 29	Park Theater at Monte Carlo Resort and Casino	Las Vegas, NV	 I Was There
Sep 23	Queen Elizabeth Theatre	Toronto, Canada	 I Was There
Sep 22	Sony Centre for the Performing Arts	Toronto, Canada	 I Was There
Sep 15	Largo at the Coronet	Los Angeles, CA	 I Was There
Sep 12	Hollywood Improv	Hollywood, CA	 I Was There
Sep 09	Alabama Theatre	Birmingham, AL	 I Was There
Sep 08	Horseshoe Casino's Bluesville	Robinsonville, MS	 I Was There
Sep 05	Hollywood Improv	Hollywood, CA	 I Was There
Sep 02	Harrah's Resort SoCal	Funner, CA	 I Was There
Aug 30	Hampton Beach Casino Ballroom	Hampton Beach, NH	 I Was There
Aug 27	Cape Cod Melody Tent	Hyannis, MA	 I Was There
Aug 17	Largo at the Coronet	Los Angeles, CA	 I Was There
Aug 16	Largo at the Coronet	Los Angeles, CA		
Aug 13	Tarrytown Music Hall	Tarrytown, NY	 I Was There
Aug 12	Count Basie Theatre	Red Bank, NJ	 I Was There
Aug 11	Count Basie Theatre	Red Bank, NJ	 I Was There
Aug 10	Count Basie Theatre	Red Bank, NJ	 I Was There
Jul 29	Harrah's Resort SoCal	Funner, CA	 I Was There
Jul 15	Fountain Street Church	Grand Rapids, MI	 I Was There
Jul 14	Fountain Street Church	Grand Rapids, MI	 I Was There
Jul 10	The Roxy	Los Angeles, CA	 I Was There
Jul 01	Capitol Theatre-NY	Port Chester, NY	 I Was There
Jun 30	Capitol Theatre-NY	Port Chester, NY	 I Was There
Jun 29	Capitol Theatre-NY	Port Chester, NY	 I Was There
Jun 10	L'Olympia	Montréal, Canada	 I Was There
Jun 02	Bill Graham Civic Auditorium	San Francisco, CA	 I Was There
May 31	Hollywood Improv	Hollywood, CA	 I Was There
May 18	Burton Cummings Theatre	Winnipeg, Canada	 I Was There
May 03	Pickwick & Frolic	Cleveland, OH	 I Was There
Apr 25	The Roxy	Los Angeles, CA	 I Was There
Apr 09	Majestic Theatre San Antonio	San Antonio, TX	 I Was There
Mar 28	The Theater at Madison Square Garden	New York, NY	 I Was There
Mar 22	San Jose Improv	San Jose, CA	 I Was There	
Mar 21	San Jose Improv	San Jose, CA	 I Was There
Mar 20	San Jose Improv	San Jose, CA	 I Was There
Mar 15	Roxy Theatre-CA	West Hollywood, CA	 I Was There
Mar 12	Largo at the Coronet	Los Angeles, CA	 I Was There
Feb 28	Curtis M Phillips Center for Performing Arts	Gainesville, FL	 I Was There
Feb 27	Largo at the Coronet	Los Angeles, CA	 I Was There
Feb 25	The Peabody Daytona Beach	Daytona Beach, FL	 I Was There
Jan 30	Largo at the Coronet	Los Angeles, CA	 I Was There
Dec 31, 2016	The Theater at Madison Square Garden	New York, NY	 I Was There
Dec 13, 2016	The Roxy	Los Angeles, CA	 I Was There
Nov 03, 2016	Largo at the Coronet	Los Angeles, CA	 I Was There
Oct 30, 2016	Largo at the Coronet	Los Angeles, CA	 I Was There
Oct 21, 2016	Ryman Auditorium	Nashville, TN	 I Was There
Oct 20, 2016	National Theatre-DC	Washington, DC	 I Was There
Oct 19, 2016	National Theatre-DC	Washington, DC	 I Was There
Oct 18, 2016	National Theatre-DC	Washington, DC	 I Was There
Oct 17, 2016	National Theatre-DC	Washington, DC	 I Was There
Oct 16, 2016	National Theatre-DC	Washington, DC	 I Was There
