Date	Venue	Location	Ignore
Nov 18	Seven Feathers Hotel & Casino	Canyonville, OR	 I Was There
Nov 10	Eau Claire Regional Arts Center	Eau Claire, WI	 I Was There
Nov 03	Treasure Island	Las Vegas, NV	 I Was There
Nov 02	Winspear Opera House	Dallas, TX	 I Was There
Oct 28	Morrison Center for the Performing Arts	Boise, ID	 I Was There
Oct 26	North Charleston Performing Arts Center	North Charleston, SC	 I Was There
Oct 14	Thrasher-Horne Center for the Arts	Orange Park, FL	 I Was There
Oct 13	Charles F. Dodge City Center Pembroke Pines	Pembroke Pines, FL	 I Was There
Oct 12	Ruth Eckerd Hall	Clearwater, FL	 I Was There
Oct 07	Blue Chip Casino	Michigan City, IN	 I Was There
Oct 05	Scheels Arena	Fargo, ND	 I Was There
Sep 30	The Modell Lyric	Baltimore, MD	 I Was There
Sep 29	Golden Nugget	Lake Charles, LA	 I Was There
Sep 09	Tulalip Resort Casino	Tulalip, WA	 I Was There
Jul 31	Monroe County Fairgrounds	Monroe, MI	 I Was There
Jun 09	Talking Stick Resort	Scottsdale, AZ	 I Was There
May 19	Paramount Theatre-Colorado	Denver, CO	 I Was There
May 13	Palace Theatre-Greensburg	Greensburg, PA	 I Was There
May 12	IP Casino Resort and Spa	Biloxi, MS	 I Was There
May 06	Casino Rama Resort	Rama, Canada	 I Was There
May 05	The Colosseum at Caesars Windsor	Windsor, Canada	 I Was There
Apr 28	Treasure Island Resort & Casino	Welch, MN	 I Was There
Apr 27	Coeur d'Alene Casino Resort	Worley, ID	 I Was There
Apr 08	Kansas Star Event Center Arena	Mulvane, KS	 I Was There
Mar 18	The Vine Theater at Del Lago Resort & Casino	Waterloo, NY	 I Was There
Mar 17	JACK Cincinnati Casino	Cincinnati, OH	 I Was There
Mar 10	Treasure Island	Las Vegas, NV	 I Was There
Feb 23	Proctor's Theatre	Schenectady, NY	 I Was There
Feb 19	DeVos Performance Hall	Grand Rapids, MI	 I Was There
Feb 17	Muriel Kauffman Theatre-Kauffman PAC	Kansas City, MO	 I Was There
Feb 12	The Santander Performing Arts Center	Reading, PA	 I Was There
Feb 11	Crouse Performance Hall	Lima, OH	 I Was There
Feb 10	Akron Civic Theatre	Akron, OH	 I Was There
Jan 21	Chinook Winds Casino	Lincoln City, OR	 I Was There
Jan 20	Chinook Winds Casino	Lincoln City, OR	 I Was There
Jan 14	Kansas Star Casino	Mulvane, KS	 I Was There
Jan 13	Riverdome at Horseshoe Casino & Hotel	Bossier City, LA	 I Was There
Jan 08	Tobin Center for the Performing Arts	San Antonio, TX	 I Was There
Jan 07	American Bank Center Selena Auditorium	Corpus Christi, TX	 I Was There
Dec 09, 2016	The Arena at Southeastern KY Agricultural and Expo Complex	Corbin, KY	 I Was There
Dec 03, 2016	Edgewater E Center	Laughlin, NV	 I Was There
Nov 19, 2016	Spotlight 29 Casino	Coachella, CA	 I Was There
Nov 06, 2016	DPAC	Durham, NC	 I Was There
Oct 15, 2016	Von Braun Center Concert Hall	Huntsville, AL	 I Was There
Oct 08, 2016	Warner Theatre	Torrington, CT	 I Was There
Sep 30, 2016	Effingham Performance Center	Effingham, IL	 I Was There
Sep 29, 2016	Genesee Theatre	Waukegan, IL	 I Was There
Sep 24, 2016	Grand Casino Mille Lacs Event Center	Onamia, MN	 I Was There
Sep 16, 2016	SUGARHOUSE CASINO	Philadelphia, PA	 I Was There
Aug 27, 2016	Cheyenne Civic Center	Cheyenne, WY	 I Was There
Mar 26, 2016	Ruth Eckerd Hall	Clearwater, FL	 I Was There
Mar 25, 2016	River Cree Resort & Casino	Parkland County, Canada	 I Was There
Mar 06, 2016	The Capitol Theatre	Wheeling, WV	 I Was There
Feb 14, 2016	ALTRIA THEATER RICHMOND	Richmond, VA	 I Was There
Feb 12, 2016	Stranahan Theater	Toledo, OH	 I Was There
Nov 28, 2015	Hollywood Casino at Charles Town Races	Charles Town, WV	 I Was There
Nov 14, 2015	Sands Bethlehem Event Center	Bethlehem, PA	 I Was There
