Date	Venue	Location	Ignore
Oct 29	Largo at the Coronet	Los Angeles, CA	 I Was There
Oct 24	The Novo by Microsoft	Los Angeles, CA	 I Was There
Sep 23	Queen Elizabeth Theatre	Toronto, Canada	 I Was There
Sep 22	Sony Centre for the Performing Arts	Toronto, Canada	 I Was There
Jul 25	Largo at the Coronet	Los Angeles, CA	 I Was There
Jun 28	Improv Comedy Club-Irvine	Irvine, CA	 I Was There
Jun 09	Rams Head Live	Baltimore, MD	 I Was There
Jun 08	Rex Theatre	Pittsburgh, PA	 I Was There
Apr 08	Cobb's Comedy Club	San Francisco, CA	 I Was There
Apr 07	Cobb's Comedy Club	San Francisco, CA	 I Was There
Apr 06	Cobb's Comedy Club	San Francisco, CA	 I Was There
Feb 25	Hollywood Improv	Hollywood, CA	 I Was There
Feb 18	the Comedy MIX	Vancouver, BC	 I Was There
Feb 17	the Comedy MIX	Vancouver, BC	 I Was There
Feb 16	the Comedy MIX	Vancouver, BC	 I Was There
Feb 09	The Stage at Santa Ana Star Casino	Bernalillo, NM	 I Was There
Jan 07	Punch Line Comedy Club	Sacramento, CA	 I Was There
Jan 06	Punch Line Comedy Club	Sacramento, CA	 I Was There
Jan 05	Punch Line Comedy Club	Sacramento, CA	 I Was There
Dec 03, 2016	Beat Kitchen	Chicago, IL	 I Was There
Dec 02, 2016	The House	Dekalb, IL	 I Was There
Oct 22, 2016	Revolution Hall	Portland, OR	 I Was There
Oct 03, 2016	Largo at the Coronet	Los Angeles, CA	 I Was There
Sep 16, 2016	Del Mar Racetrack & Fairgrounds	Del Mar, CA	 I Was There
Sep 10, 2016	Backbooth	Orlando, FL	 I Was There
Sep 09, 2016	Crowbar	Tampa, FL	 I Was There
Sep 08, 2016	The Grey Eagle	Asheville, NC	 I Was There
May 24, 2016	Largo at the Coronet	Los Angeles, CA	 I Was There
May 19, 2016	Woman's Club Assembly	Minneapolis, MN	 I Was There
May 12, 2016	The Loft Lansing	Lansing, MI	 I Was There
Apr 19, 2016	The Factory Theatre	Sydney, Australia	 I Was There
Feb 20, 2016	The Ballroom at Warehouse Live	Houston, TX	 I Was There
Feb 19, 2016	Bourbon Theatre	Lincoln, NE	 I Was There
Nov 04, 2015	Algonquin Commons Theatre	Ottawa, Canada	 I Was There
Oct 17, 2015	Beat Kitchen	Chicago, IL	 I Was There
Oct 16, 2015	The House Cafe	Dekalb, IL	 I Was There
Oct 14, 2015	The Firebird	St Louis, MO	 I Was There
Sep 11, 2015	Shrine Auditorium	Los Angeles, CA	 I Was There
Aug 09, 2015	Turner Hall Ballroom	Milwaukee, WI	 I Was There
Jul 16, 2015	Doug Fir Lounge	Portland, OR	 I Was There
May 30, 2015	Hyena's Dallas	Dallas, TX	 I Was There
May 29, 2015	Hyena's Dallas	Dallas, TX	 I Was There
May 28, 2015	Hyena's Fort Worth	Fort Worth, TX	 I Was There
Apr 03, 2015	The Republik	Honolulu, HI	 I Was There
Mar 07, 2015	Rams Head Live	Baltimore, MD	 I Was There
Feb 14, 2015	Lafflines	New Westminster, Canada	 I Was There
Feb 13, 2015	Lafflines	New Westminster, Canada	 I Was There
Feb 12, 2015	Lafflines	New Westminster, Canada	 I Was There
Dec 12, 2014	Vinyl Music Hall	Pensacola, FL	 I Was There
Nov 20, 2014	Black Cat	Washington, DC	 I Was There
Nov 02, 2014	Underground Cafe & Social Club	Toronto, ON	 I Was There
Oct 18, 2014	Beat Kitchen	Chicago, IL	 I Was There
Oct 17, 2014	The House Cafe	Dekalb, IL	 I Was There
Oct 09, 2014	The Masonic Lodge at Hollywood Forever	Los Angeles, CA	 I Was There
Sep 19, 2014	Crescent Ballroom	Phoenix, AZ	 I Was There
Sep 13, 2014	Knitting Factory Brooklyn	New York, NY	 I Was There
Jun 06, 2014	The Catalyst	Santa Cruz, CA	 I Was There
May 30, 2014	The Firebird	St Louis, MO	 I Was There
May 08, 2014	Club Congress	Tucson, AZ	 I Was There
Mar 28, 2014	The Republik	Honolulu, HI	 I Was There
Dec 21, 2013	Vinyl Music Hall	Pensacola, FL	 I Was There
Dec 14, 2013	Hyenas Dallas	Dallas, TX	 I Was There
Dec 13, 2013	Hyenas Dallas	Dallas, TX	 I Was There
Dec 12, 2013	Hyenas Fort Worth	Fort Worth, TX	 I Was There
Nov 23, 2013	Republik	Calgary, Canada	 I Was There
Oct 12, 2013	Hyenas Fort Worth	Fort Worth, TX	 I Was There
Oct 11, 2013	Hyenas Fort Worth	Fort Worth, TX	 I Was There
Oct 04, 2013	Wow Hall	Eugene, OR	 I Was There
Apr 04, 2013	The Republik	Honolulu, HI	 I Was There
Feb 09, 2013	Abbey Pub	Chicago, IL	 I Was There
Dec 17, 2012	The Echoplex	Los Angeles, CA	 I Was There
Dec 04, 2012	The Ricardo Montalbán Theatre	Hollywood, CA	 I Was There
Jun 07, 2012	Great Stage Park	Manchester, TN	 I Was There
Dec 10, 2011	Wonder Ballroom	Portland, OR	 I Was There
Nov 26, 2011	Irvine Improv	Irvine, CA	 I Was There
Nov 25, 2011	Irvine Improv	Irvine, CA	 I Was There
Nov 25, 2011	Irvine Improv	Irvine, CA	 I Was There
Nov 24, 2011	Irvine Improv	Irvine, CA	 I Was There
Nov 24, 2011	Irvine Improv	Irvine, CA	 I Was There
Nov 23, 2011	Irvine Improv	Irvine, CA	 I Was There
Nov 20, 2011	Columbus Funny Bone	Columbus, OH	 I Was There
