Date	Venue	Location	Ignore
Feb 17	Boch Center Wang Theatre	Boston, MA	 I Was There
Feb 16	Boch Center Wang Theatre	Boston, MA	 I Was There
Feb 15	Boch Center Wang Theatre	Boston, MA	 I Was There
Feb 14	Boch Center Wang Theatre	Boston, MA	 I Was There
Feb 09	Terrace Theater	Long Beach, CA	 I Was There
Feb 02	Mahalia Jackson Theater for the Performing Arts	New Orleans, LA	 I Was There
Feb 01	Mahalia Jackson Theater for the Performing Arts	New Orleans, LA	 I Was There
Jan 26	Air Canada Centre	Toronto, Canada	 I Was There
Jan 21	Theater of the Clouds at Moda Center	Portland, OR	 I Was There
Jan 20	Moda Center	Portland, OR	 I Was There
Jan 19	Moda Center	Portland, OR	 I Was There
Jan 18	Bellco Theatre	Denver, CO	 I Was There
Jan 17	Bellco Theatre	Denver, CO	 I Was There
Jan 14	D.A.R. Constitution Hall	Washington, DC	 I Was There
Jan 13	D.A.R. Constitution Hall	Washington, DC	 I Was There
Jan 12	DAR Constitution Hall	Washington, DC	 I Was There
Jan 11	DAR Constitution Hall	Washington, DC	 I Was There
Jan 07	Moody Theater	Austin, TX	 I Was There
Jan 06	Moody Theater	Austin, TX	 I Was There
Jan 05	Moody Theater	Austin, TX	 I Was There
Jan 04	Moody Theater	Austin, TX	 I Was There
Dec 23, 2016	Town Hall-NY	New York, NY	 I Was There
Dec 16, 2016	Madison Square Garden	New York, NY	 I Was There
Dec 14, 2016	Madison Square Garden	New York, NY	 I Was There
Dec 10, 2016	Paramount Theatre-Washington	Seattle, WA	 I Was There
Dec 09, 2016	Wamu Theater	Seattle, WA	 I Was There
Dec 08, 2016	UBC	Vancouver, Canada	 I Was There
Dec 07, 2016	UBC	Vancouver, Canada	 I Was There
Dec 01, 2016	Dolby Theatre	Los Angeles, CA	 I Was There
Nov 29, 2016	Dolby Theatre	Hollywood, CA	 I Was There
Nov 19, 2016	DAR Constitution Hall	Washington, DC	 I Was There
Nov 16, 2016	Ziff Ballet Opera House-Adrienne Arsht PAC	Miami, FL	 I Was There
Nov 15, 2016	Knight Concert Hall-Adrienne Arsht PAC	Miami, FL	 I Was There
Nov 10, 2016	Music Hall At Fair Park	Dallas, TX	 I Was There
Nov 09, 2016	Music Hall At Fair Park	Dallas, TX	 I Was There
Nov 03, 2016	Wells Fargo Center-PA	Philadelphia, PA	 I Was There
Nov 01, 2016	The Theater at Madison Square Garden	New York, NY	 I Was There
Oct 21, 2016	Petersen Events Center	Pittsburgh, PA	 I Was There
Oct 19, 2016	The Palace Theatre Albany	Albany, NY	 I Was There
Oct 18, 2016	New Jersey Performing Arts Center	Newark, NJ	 I Was There
Oct 07, 2016	TOWN HALL THEATER	New York, NY	 I Was There
Oct 06, 2016	Chicago Theatre	Chicago, IL	 I Was There
Oct 05, 2016	The Chicago Theatre	Chicago, IL	 I Was There
Oct 04, 2016	Chicago Theatre	Chicago, IL	 I Was There
Sep 20, 2016	Fox Theatre	Atlanta, GA	 I Was There
Sep 15, 2016	Madison Square Garden	New York, NY	 I Was There
Sep 12, 2016	Madison Square Garden	New York, NY	 I Was There
Sep 08, 2016	Madison Square Garden	New York, NY	 I Was There
Aug 16, 2016	Ziggo Dome	Amsterdam, Netherlands	 I Was There
Aug 13, 2016	eventim apollo	London, United Kingdom	 I Was There
Aug 11, 2016	Edinburgh Playhouse	Edinburgh, United Kingdom	 I Was There
Aug 06, 2016	MassMutual Center	Springfield, MA	 I Was There
Aug 05, 2016	Joe Louis Arena	Detroit, MI	 I Was There
Aug 04, 2016	Scottrade Center	St Louis, MO	 I Was There
Aug 03, 2016	CenturyLink Center Omaha	Omaha, NE	 I Was There
Aug 02, 2016	Target Center	Minneapolis, MN	 I Was There
Aug 01, 2016	BMO Harris Bradley Center	Milwaukee, WI	 I Was There
Jul 22, 2016	Forest Hills Stadium	Forest Hills, NY	 I Was There
Jul 15, 2016	Greensboro Coliseum Arena	Greensboro, NC	 I Was There
Jul 14, 2016	Bridgestone Arena	Nashville, TN	 I Was There
Jul 13, 2016	DAR Constitution Hall	Washington, DC	 I Was There
Apr 08, 2016	The Lincoln Theatre	Washington, DC	 I Was There
Jan 27, 2015	Madison Square Garden	New York, NY	 I Was There
Jan 14, 2015	Madison Square Garden	New York, NY	 I Was There
Jan 11, 2015	The Forum	Los Angeles, CA	 I Was There
Jan 07, 2015	Madison Square Garden	New York, NY	 I Was There
Jan 06, 2015	Chicago Theatre	Chicago, IL	 I Was There
Jan 05, 2015	Chicago Theatre	Chicago, IL	 I Was There
Nov 05, 2014	Madison Square Garden	New York, NY	 I Was There
Sep 21, 2014	Austin360 Ampitheater	Austin, TX	 I Was There
Sep 20, 2014	The Cynthia Woods Mitchell Pavilion presented by Huntsman	Houston, TX	 I Was There
Sep 19, 2014	Gexa Energy Pavillion	Dallas, TX	 I Was There
Sep 14, 2014	Verizon Wireless Ampitheater	Irvine, CA	 I Was There
Sep 13, 2014	Verizon Wireless Ampitheater	Irvine, CA	 I Was There
Sep 12, 2014	Shoreline Amiptheatre	Mountain View, CA	 I Was There
Sep 07, 2014	Red Rocks Ampitheatre	Denver, CO	 I Was There
Sep 06, 2014	USANA Ampitheatre	Salt Lake City, UT	 I Was There
Sep 05, 2014	White River Ampitheatre	Seattle, WA	 I Was There
Aug 23, 2014	Xfinity Theatre	Hartford, CT	 I Was There
Aug 22, 2014	Nikon at Jones Beach Theater	Wantagh, NY	 I Was There
Aug 17, 2014	PNC Bank Arts Center	Holmdel, NJ	 I Was There
Aug 16, 2014	Susquehanna Bank Center	Camden, NJ	 I Was There
Aug 15, 2014	Xfinity Center	Mansfield, MA	 I Was There
Aug 10, 2014	Aaron's Amphitheatre at Lakewood	Atlanta, GA	 I Was There
