Date	Venue	Location	Ignore
Nov 11	Terry Fator Theatre at Mirage Hotel and Casino	Las Vegas, NV	 I Was There
Nov 10	Terry Fator Theatre at Mirage Hotel and Casino	Las Vegas, NV	 I Was There
Nov 04	Arlington Theatre	Santa Barbara, CA	 I Was There
Oct 14	Terry Fator Theatre at Mirage Hotel and Casino	Las Vegas, NV	 I Was There
Oct 13	Terry Fator Theatre at Mirage Hotel and Casino	Las Vegas, NV	 I Was There
Sep 23	Terry Fator Theatre at Mirage Hotel and Casino	Las Vegas, NV	 I Was There
Sep 22	Terry Fator Theatre at Mirage Hotel and Casino	Las Vegas, NV	 I Was There
Jul 22	Terry Fator Theatre at Mirage Hotel and Casino	Las Vegas, NV	 I Was There
Jul 21	Terry Fator Theatre at Mirage Hotel and Casino	Las Vegas, NV	 I Was There
Jun 10	Terry Fator Theatre at Mirage Hotel and Casino	Las Vegas, NV	 I Was There
Jun 09	Terry Fator Theatre at Mirage Hotel and Casino	Las Vegas, NV	 I Was There
May 07	Save Mart Center	Fresno, CA	 I Was There
May 06	Event Center at San Jose State University	San Jose, CA	 I Was There
May 05	Matthew Knight Arena	Eugene, OR	 I Was There
May 04	Star Theatre	Spokane, WA	 I Was There
May 03	Taco Bell Arena	Boise, ID	 I Was There
May 01	Pikes Peak Center	Colorado Springs, CO	 I Was There
Apr 30	United Supermarkets Arena	Lubbock, TX	 I Was There
Apr 29	Frank Erwin Center	Austin, TX	 I Was There
Apr 28	Rudder Auditorium	College Station, TX	 I Was There
Apr 27	Raising Caines River Center Arena	Baton Rouge, LA	 I Was There
Apr 26	Donald L. Tucker center	Tallahassee, FL	 I Was There
Apr 25	CFE Arena	Orlando, FL	 I Was There
Apr 23	Classic Center Theatre	Athens, GA	 I Was There
Apr 22	Littlejohn Coliseum at Clemson University	Clemson, SC	 I Was There
Apr 21	Knoxville Civic Coliseum	Knoxville, TN	 I Was There
Apr 20	Schottenstein Center	Columbus, OH	 I Was There
Apr 19	KFC Yum! Center	Louisville, KY	 I Was There
Apr 18	Indiana University Auditorium	Bloomington, IN	 I Was There
Apr 17	Chaifetz Arena	St Louis, MO	 I Was There
Apr 16	State Farm Center	Champaign, IL	 I Was There
Apr 15	Mizzou Arena	Columbia, MO	 I Was There
Apr 14	Pinnacle Bank Arena	Lincoln, NE	 I Was There
Mar 18	Terry Fator Theatre at Mirage Hotel and Casino	Las Vegas, NV	 I Was There
Mar 17	Terry Fator Theatre at Mirage Hotel and Casino	Las Vegas, NV	 I Was There
Feb 04	Terry Fator Theatre at Mirage Hotel and Casino	Las Vegas, NV	 I Was There
Feb 03	Terry Fator Theatre at Mirage Hotel and Casino	Las Vegas, NV	 I Was There
Jan 14	Terry Fator Theatre at Mirage Hotel and Casino	Las Vegas, NV	 I Was There
Jan 13	Terry Fator Theatre at Mirage Hotel and Casino	Las Vegas, NV	 I Was There
Dec 17, 2016	Grand Sierra Resort and Casino	Reno, NV	 I Was There
Oct 11, 2015	McCallum Theatre	Palm Desert, CA	 I Was There
Dec 21, 2013	MontBleu Resort	Stateline, NV	 I Was There
Nov 30, 2013	Wells Fargo Center for the Arts	Santa Rosa, CA	 I Was There
Nov 02, 2013	Terry Fator Theatre at Mirage Hotel and Casino	Las Vegas, NV	 I Was There
Nov 01, 2013	Terry Fator Theatre at Mirage Hotel and Casino	Las Vegas, NV	 I Was There
Oct 12, 2013	Terry Fator Theatre at Mirage Hotel and Casino	Las Vegas, NV	 I Was There
Oct 11, 2013	Terry Fator Theatre	Las Vegas, NV	 I Was There
