Date	Venue	Location	Ignore
Oct 27	The Pavilion at Toyota Music Factory	Irving, TX	 I Was There
Oct 26	The Pavilion at Toyota Music Factory	Irving, TX	 I Was There
Oct 07	Shoreline Amphitheatre	Mountain View, CA	 I Was There
Sep 30	Warner Theatre	Washington, DC	 I Was There
Sep 29	Warner Theatre	Washington, DC	 I Was There
Sep 28	Warner Theatre	Washington, DC	 I Was There
Sep 27	Warner Theatre	Washington, DC	 I Was There
Sep 26	Warner Theatre	Washington, DC	 I Was There
Sep 25	Warner Theatre	Washington, DC	 I Was There
Sep 24	Warner Theatre	Washington, DC	 I Was There
Sep 22	Warner Theatre	Washington, DC	 I Was There
Sep 21	Warner Theatre	Washington, DC	 I Was There
Sep 20	Warner Theatre	Washington, DC	 I Was There
Sep 19	Warner Theatre	Washington, DC	 I Was There
Sep 12	The Peppermint Club	Los Angeles, CA	 I Was There
Sep 08	Michigan Lottery Amphitheatre at Freedom Hill	Sterling Heights, MI	 I Was There
Sep 03	The Chelsea at The Cosmopolitan of Las Vegas	Las Vegas, NV	 I Was There
Sep 02	Comerica Theatre	Phoenix, AZ	 I Was There
Sep 01	The Pavilion at Irving Music Factory	Irving, TX	 I Was There
Aug 31	The Pavilion at Irving Music Factory	Irving, TX	 I Was There	
Aug 24	Radio City Music Hall	New York, NY	 I Was There
Aug 23	Radio City Music Hall	New York, NY	 I Was There
Aug 22	Radio City Music Hall	New York, NY	 I Was There
Aug 20	Radio City Music Hall	New York, NY	 I Was There
Aug 19	Radio City Music Hall	New York, NY	 I Was There
Aug 18	Radio City Music Hall	New York, NY	 I Was There
Aug 17	Radio City Music Hall	New York, NY	 I Was There
Aug 15	Radio City Music Hall	New York, NY	 I Was There
Aug 12	Radio City Music Hall	New York, NY	 I Was There
Aug 09	Radio City Music Hall	New York, NY	 I Was There
Aug 06	Radio City Music Hall	New York, NY	 I Was There
Aug 05	Radio City Music Hall	New York, NY	 I Was There
Aug 04	Radio City Music Hall	New York, NY	 I Was There
Aug 03	Radio City Music Hall	New York, NY	 I Was There
Aug 02	Radio City Music Hall	New York, NY	 I Was There
Aug 01	Radio City Music Hall	New York, NY	 I Was There
Jul 28	Icehouse	Minneapolis, MN	 I Was There
Jul 27	Icehouse	Minneapolis, MN	 I Was There
Jul 26	Icehouse	Minneapolis, MN	 I Was There
Jul 25	Icehouse	Minneapolis, MN	 I Was There	
