Date	Venue	Location	Ignore
Nov 18	MacEwan Hall	Calgary, Canada	 I Was There
Nov 17	Burton Cummings Theatre	Winnipeg, Canada	 I Was There
Nov 12	The Pabst Theater	Milwaukee, WI	 I Was There
Nov 11	Paramount Theatre-Colorado	Denver, CO	 I Was There
Nov 10	Folly Theater	Kansas City, MO	 I Was There
Nov 09	Paramount Theatre-Austin	Austin, TX	 I Was There
Nov 04	James K. Polk Theatre	Nashville, TN	 I Was There
Nov 03	Center Stage Theater	Atlanta, GA	 I Was There
Oct 28	Gramercy Theatre	New York, NY	 I Was There
Oct 27	Gramercy Theatre	New York, NY	 I Was There
Oct 22	20 Monroe Live	Grand Rapids, MI	 I Was There
Oct 21	Hard Rock Rocksino Northfield Park Hard Rock Live	Northfield, OH	 I Was There
Oct 20	Carnegie Library Music Hall of Homestead	Homestead, PA	 I Was There
Oct 19	Centre in the Square-Ontario	Kitchener, Canada	 I Was There
Oct 08	Vic Theater	Chicago, IL	 I Was There
Oct 07	University At Buffalo Center for the Arts	Buffalo, NY	 I Was There
Oct 06	Empire Center At the Egg	Albany, NY	 I Was There
Sep 30	Queen Elizabeth Theatre	Toronto, Canada	 I Was There
Sep 23	Hippodrome at France-Merrick Performing Arts Center	Baltimore, MD	 I Was There
Sep 22	Keswick Theatre	Glenside, PA	 I Was There	
Sep 17	KAABOO Del Mar	Del Mar, CA	 I Was There
Sep 10	Revolution Hall	Portland, OR	 I Was There
Aug 27	The National	Richmond, VA	 I Was There
Aug 25	Sandler Center for the Performing Arts	Virginia Beach, VA	 I Was There
Aug 19	Ace Hotel Los Angeles	Los Angeles, CA	 I Was There
Aug 12	Uptown Theatre Napa	Napa, CA	 I Was There
Jul 29	Talking Stick Resort	Scottsdale, AZ	 I Was There
Jul 28	Meadow Brook Amphitheatre	Rochester Hills, MI	 I Was There
Jun 24	Shoreline Amphitheatre	Mountain View, CA	 I Was There
Jun 23	Rialto Theatre-Tucson	Tucson, AZ	 I Was There
Jun 17	State Theatre	Minneapolis, MN	 I Was There
Jun 16	The Heights	Houston, TX	 I Was There
Jun 10	College Street Music Hall	New Haven, CT	 I Was There
Jun 09	Capitol Theatre-NY	Port Chester, NY	 I Was There
Jun 08	The Paramount	Huntington, NY	 I Was There
May 13	Lincoln Theatre	Washington, DC	 I Was There
May 12	State Theatre	New Brunswick, NJ	 I Was There
May 11	The Pageant	St Louis, MO	 I Was There
May 06	Comerica Theatre	Phoenix, AZ	 I Was There
Apr 29	The Wilbur	Boston, MA	 I Was There	
Apr 28	State Theatre	Portland, ME	 I Was There
Apr 20	Orpheum Theater	Madison, WI	 I Was There
Apr 14	Largo at the Coronet	Los Angeles, CA	 I Was There
Apr 11	Largo at the Coronet	Los Angeles, CA	 I Was There
Mar 26	Plaza LIVE Orlando	Orlando, FL	 I Was There
Mar 25	Hollywood Improv	Hollywood, CA	 I Was There
Mar 23	Plaza Live	Orlando, FL	 I Was There
Mar 18	Silver Legacy Casino	Reno, NV	 I Was There
Nov 11, 2016	Tillman Auditorium	Clemson, SC	 I Was There
Nov 10, 2016	Charleston Music Hall	Charleston, SC	 I Was There
Nov 09, 2016	Carolina Theatre	Durham, NC	 I Was There
Oct 28, 2016	Comerica Theatre	Phoenix, AZ	 I Was There
Oct 26, 2016	Verizon Theatre at Grand Prairie	Grand Prairie, TX	 I Was There
