Date	Venue	Location	Ignore
Nov 18	TD Garden	Boston, MA	 I Was There
Nov 11	Philips Arena	Atlanta, GA	 I Was There
Nov 10	Spectrum Center	Charlotte, NC	 I Was There
Nov 09	PNC Arena	Raleigh, NC	 I Was There
Nov 05	Moody Theater	Austin, TX	 I Was There
Nov 04	Moody Theater	Austin, TX	 I Was There
Nov 03	Saenger Theatre New Orleans	New Orleans, LA	 I Was There
Oct 29	Viejas Concerts in the Park	Alpine, CA	 I Was There
Oct 21	The Wilbur	Boston, MA	 I Was There
Oct 20	The Wilbur	Boston, MA	 I Was There
Oct 19	The Wilbur	Boston, MA	 I Was There
Oct 18	The Wilbur	Boston, MA	 I Was There
Oct 14	The Chicago Theatre	Chicago, IL	 I Was There
Oct 13	The Chicago Theatre	Chicago, IL	 I Was There
Oct 12	The Chicago Theatre	Chicago, IL	 I Was There
Sep 30	Beacon Theatre	New York, NY	 I Was There
Sep 29	Beacon Theatre	New York, NY	 I Was There
Sep 28	Beacon Theatre	New York, NY	 I Was There
Sep 17	Shoreline Amphitheatre	Mountain View, CA	 I Was There
Sep 16	KeyArena	Seattle, WA	 I Was There
Sep 15	Moda Center	Portland, OR	 I Was There
Sep 10	Viejas Concerts in the Park	Alpine, CA	 I Was There
Sep 09	Ace Hotel Los Angeles	Los Angeles, CA	 I Was There
Sep 08	Ace Hotel Los Angeles	Los Angeles, CA	 I Was There
Sep 07	Ace Hotel Los Angeles	Los Angeles, CA	 I Was There
Aug 29	Minnesota State Fair	St Paul, MN	 I Was There
Aug 28	Minnesota State Fair	St Paul, MN	 I Was There
Aug 26	Minnesota State Fair	Saint Paul, MN	 I Was There
Aug 13	Enmore Theatre	Newtown, Australia	 I Was There
Aug 12	Enmore Theatre	Newtown, Australia	 I Was There
Aug 11	The Opera House Wellington	Wellington, New Zealand	 I Was There
Aug 10	The Opera House Wellington	Wellington, New Zealand	 I Was There
Aug 03	Northwest Arena	Jamestown, NY	 I Was There
Jul 29	1stBANK Center	Broomfield, CO	 I Was There
Jul 28	Pinewood Bowl Theater	Lincoln, NE	 I Was There
Jul 27	Rimrock Auto Arena	Billings, MT	 I Was There
Jul 23	First Security Amphitheatre	Little Rock, AR	 I Was There
Jul 22	U.S. Cellular Center	Cedar Rapids, IA	 I Was There
Jul 21	DTE Energy Music Theatre	Clarkston, MI	 I Was There
Jul 20	Starlight Theatre	Kansas City, MO	 I Was There
Jul 15	Borgata Event Center	Atlantic City, NJ	 I Was There
Jul 14	GIANT Center	Hershey, PA	 I Was There
Jul 09	Comedy Club on State	Madison, WI	 I Was There
Jul 08	Comedy Club on State	Madison, WI	 I Was There
Jun 30	???? ?????? ?"?	Petah Tikva, Israel	 I Was There
Jun 08	Webster Hall	New York, NY	 I Was There
May 07	The Colosseum at Ceasars Palace	Las Vegas, NV	 I Was There
May 06	The Colosseum at Ceasars Palace	Las Vegas, NV	 I Was There
May 05	Global Event Center at WinStar World Casino and Resort	Thackerville, OK	 I Was There
Apr 29	THEATRE DEJAZET	Paris, France	 I Was There
Apr 23	Moody Theater	Austin, TX	 I Was There
Apr 22	Moody Theater	Austin, TX	 I Was There
Apr 21	Saenger Theatre New Orleans	New Orleans, LA	 I Was There
Apr 08	Bryce Jordan Center	University Park, PA	 I Was There
Feb 25	Yakima Valley SunDome	Yakima, WA	 I Was There
Feb 24	Queen Elizabeth Theatre 	Vancouver, BC	 I Was There
Feb 10	Canadian Tire Centre	Ottawa, Canada	 I Was There
Jan 14	Leceister Square Theatre	London, United Kingdom	 I Was There
Jan 13	Leceister Square Theatre	London, United Kingdom	 I Was There
Jan 07	The Theater at MGM National Harbor	National Harbor, MD	 I Was There
Jan 06	The Theater at MGM National Harbor	National Harbor, MD	 I Was There
Dec 31, 2016	Pabst Theater	Milwaukee, WI	 I Was There
Dec 30, 2016	Pabst Theater	Milwaukee, WI	 I Was There
Dec 29, 2016	Pabst Theater	Milwaukee, WI	 I Was There
Dec 28, 2016	Soaring Eagle Casino & Resort	Mount Pleasant, MI	 I Was There
Dec 22, 2016	Neal S Blaisdell Concert Hall	Honolulu, HI	 I Was There
Dec 11, 2016	Taco Bell Arena	Boise, ID	 I Was There
Dec 10, 2016	Broadmoor World Arena	Colorado Springs, CO	 I Was There
Dec 09, 2016	Vivint Smart Home Arena	Salt Lake City, UT	 I Was There
Dec 03, 2016	Comerica Theatre	Phoenix, AZ	 I Was There
Dec 02, 2016	Vivint Smart Home Arena	Salt Lake City, UT	 I Was There
Nov 26, 2016	NYCB Theatre at Westbury	Westbury, NY	 I Was There
Nov 25, 2016	NYCB Theatre at Westbury	Westbury, NY	 I Was There
Nov 19, 2016	The Wellmont Theater	Montclair, NJ	 I Was There
Nov 18, 2016	The Wellmont Theater	Montclair, NJ	 I Was There
Nov 01, 2016	The Theater at Madison Square Garden	New York, NY	 I Was There
Oct 08, 2016	Leceister Square Theatre	London, United Kingdom	 I Was There
Oct 07, 2016	Leceister Square Theatre	London, United Kingdom	 I Was There
Oct 01, 2016	Northern Alberta Jubilee Auditorium	Edmonton, Canada	 I Was There
Sep 30, 2016	Southern Alberta Jubilee Auditorium	Calgary, Canada	 I Was There
Sep 29, 2016	Royal Theatre	Toronto, Canada	 I Was There
Sep 24, 2016	Palace Theatre Columbus	Columbus, OH	 I Was There
Sep 23, 2016	Palace Theatre Columbus	Columbus, OH	 I Was There
Sep 17, 2016	The Wilbur	Boston, MA	 I Was There
Sep 16, 2016	The Wilbur	Boston, MA	 I Was There
Sep 15, 2016	The Wilbur	Boston, MA	 I Was There
Sep 02, 2016	Champlain Valley Exposition	Essex Junction, VT	 I Was There
Aug 27, 2016	Borgata Casino Event Center	Atlantic City, NJ	 I Was There
Aug 13, 2016	White Oak Amphitheatre at the Greensboro Coliseum Complex	Greensboro, NC	 I Was There
Aug 12, 2016	Knoxville Civic Auditorium	Knoxville, TN	 I Was There
Aug 11, 2016	Bridgestone Arena	Nashville, TN	 I Was There
Aug 10, 2016	The Fraze Pavilion	Kettering, OH	 I Was There
Aug 09, 2016	Allen County War Memorial Coliseum	Fort Wayne, IN	 I Was There
Aug 08, 2016	Resch Center	Green Bay, WI	 I Was There
Aug 07, 2016	The Masonic	San Francisco, CA	 I Was There
Aug 06, 2016	The Masonic	San Francisco, CA	 I Was There
Aug 05, 2016	Thunder Valley Casino Resort	Lincoln, CA	 I Was There
Aug 04, 2016	The Pacific Amphitheatre	Costa Mesa, CA	 I Was There
Aug 03, 2016	Cal Coast Credit Union Open Air Theatre at SDSU	San Diego, CA	 I Was There
Jul 31, 2016	Wells Fargo Arena	Des Moines, IA	 I Was There
Jul 30, 2016	Bok Center	Tulsa, OK	 I Was There
Jul 29, 2016	Baxter Arena	Omaha, NE	 I Was There
Jul 28, 2016	Denny Sanford Premier Center	Sioux Falls, SD	 I Was There
Jul 24, 2016	Adler Theatre	Davenport, IA	 I Was There
