Date	Venue	Location	Ignore
Nov 24	eventim apollo	London, United Kingdom	 I Was There
Sep 29	O2 Apollo Manchester	Manchester, United Kingdom	 I Was There
Sep 02	Playhouse, Whitley Bay	Whitley Bay, United Kingdom	 I Was There
Jun 24	O2 Academy Brixton	London, United Kingdom	 I Was There
Jun 16	O2 Apollo Manchester	Manchester, United Kingdom	 I Was There
Apr 29	eventim apollo	London, United Kingdom	 I Was There
Apr 28	eventim apollo	London, United Kingdom	 I Was There
Mar 31	The Fillmore Miami Beach at Jackie Gleason Theater	Miami Beach, FL	 I Was There
Mar 30	Warner Theatre	Washington, DC	 I Was There
Feb 18	O2 Apollo Manchester	Manchester, United Kingdom	 I Was There
Dec 17, 2016	De La Warr Pavilion	Bexhill On Sea, United Kingdom	 I Was There
Oct 22, 2016	William Aston Hall	Wrexham, United Kingdom	 I Was There
Sep 29, 2016	Freiheiz	Munchen, Germany	 I Was There
Sep 28, 2016	Konzertsaal der Universität der Künste Berlin	Berlin, Germany	 I Was There
Sep 16, 2016	Théâtre de Beausobre	Morges, Switzerland	 I Was There
Jul 30, 2016	Gesu Theatre	Montreal, Canada	 I Was There
Jun 04, 2016	Orpheum Theater – Flagstaff	Flagstaff, AZ	 I Was There
May 26, 2016	Rhypark	Basel, Switzerland	 I Was There
May 23, 2016	Rigas Kongresu nams	Riga, Latvia	 I Was There
May 07, 2016	Vogue Theatre	Vancouver, Canada	 I Was There	
May 06, 2016	MacEwan Hall	Calgary, Canada	 I Was There
May 05, 2016	Myer Horowitz Theatre	Edmonton, Canada	 I Was There
May 01, 2016	Algonquin Commons Theatre	Ottawa, Canada	 I Was There
Apr 26, 2016	Largo at the Coronet	Los Angeles, CA	 I Was There
Apr 20, 2016	Largo at the Coronet	Los Angeles, CA	 I Was There
Apr 17, 2016	Volkshaus, Theatersaal	Zurich, Switzerland	 I Was There
Mar 19, 2016	Volkshaus, Theatersaal	Zurich, Switzerland	 I Was There
Feb 20, 2016	Uptown Geneva	Geneva, Switzerland	 I Was There
Feb 12, 2016	Theater am Tanzbrunnen	Cologne, Germany	 I Was There
Feb 11, 2016	Hugenottenhalle Neu-Isenburg	Horb Am Neckar, Germany	 I Was There
Dec 19, 2015	LEISURELAND	Galway, Ireland	 I Was There
Dec 18, 2015	INEC Gleneagle Hotel	Killarney, Ireland	 I Was There
Dec 17, 2015	Royal Theatre and Event Centre	Co. Mayo, Ireland	 I Was There
Dec 12, 2015	Olympia Theatre	Dublin, Ireland	 I Was There
Dec 11, 2015	Olympia Theatre	Dublin, Ireland	 I Was There
Dec 06, 2015	University Concert Hall	Limerick City, Ireland	 I Was There
Nov 28, 2015	Truro Hall for Cornwall	Truro, United Kingdom	 I Was There
Nov 27, 2015	Colston Hall	Bristol, United Kingdom	 I Was There
Nov 24, 2015	St David's Hall	Cardiff, United Kingdom	 I Was There
Nov 20, 2015	Blackpool Opera House	Blackpool, United Kingdom	 I Was There	
Nov 14, 2015	eventim apollo	London, United Kingdom	 I Was There
Nov 13, 2015	eventim apollo	London, United Kingdom	 I Was There
Nov 10, 2015	Pavilion Theatre	Bournemouth, United Kingdom	 I Was There
Nov 08, 2015	The New Victoria	Woking, United Kingdom	 I Was There
Nov 07, 2015	Scarborough Spa	Scarborough, United Kingdom	 I Was There
Nov 06, 2015	Symphony Hall	Birmingham, United Kingdom	 I Was There
Oct 27, 2015	The Auditorium Liverpool	Liverpool, United Kingdom	 I Was There
Oct 25, 2015	The Auditorium Liverpool	Liverpool, United Kingdom	 I Was There
Oct 24, 2015	The Auditorium Liverpool	Liverpool, United Kingdom	 I Was There
Oct 20, 2015	Hexagon Reading	Reading, United Kingdom	 I Was There
Oct 18, 2015	Princess Theatre Torquay Tickets	Torquay, United Kingdom	 I Was There
Oct 16, 2015	Plymouth Pavilions	Plymouth, United Kingdom	 I Was There
Oct 13, 2015	The Royal Hall	Harrogate, United Kingdom	 I Was There
Oct 11, 2015	Mayflower Theatre	Southampton, United Kingdom	 I Was There
Oct 09, 2015	Civic Hall	Wolverhampton, United Kingdom	 I Was There
Oct 03, 2015	O2 Academy Brixton	London, United Kingdom	 I Was There
Oct 02, 2015	Newcastle City Hall	Newcastle Upon Tyne, United Kingdom	 I Was There
Sep 29, 2015	Town Hall Leeds	Leeds, United Kingdom	 I Was There
Sep 27, 2015	Sheffield City Hall	Sheffield, United Kingdom	 I Was There
Sep 26, 2015	Club Congress	Tucson, AZ	 I Was There	
Sep 25, 2015	Oasis Leisure Centre	Swindon, United Kingdom	 I Was There
Sep 11, 2015	De Montfort Hall	Leicester, United Kingdom	 I Was There
Sep 05, 2015	Stevenage Arts and Leisure Centre	Stevenage, United Kingdom	 I Was There
Sep 04, 2015	Southend Cliff's Pavilion	Southend On Sea, United Kingdom	 I Was There
Sep 01, 2015	Watford Colosseum	Watford, United Kingdom	 I Was There
Aug 30, 2015	Brighton Dome	Brighton, United Kingdom	 I Was There
Aug 29, 2015	Great Yarmouth Britannia Pier	Great Yarmouth, United Kingdom	 I Was There
Aug 28, 2015	Bridlington Spa	Bridlington, United Kingdom	 I Was There
Aug 23, 2015	Weymouth Pavilion	Weymouth, United Kingdom	 I Was There
Aug 22, 2015	Riverside Leisure Centre	Exeter, United Kingdom	 I Was There
Aug 21, 2015	Princess Theatre Torquay Tickets	Torquay, United Kingdom	 I Was There
Aug 18, 2015	Southend Cliff's Pavilion	Southend On Sea, United Kingdom	 I Was There
Aug 16, 2015	Lyceum Theatre	Crewe, United Kingdom	 I Was There
Aug 15, 2015	Kendal Leisure Centre	Kendal, United Kingdom	 I Was There
Aug 14, 2015	King George's Hall	Blackburn, United Kingdom	 I Was There
Aug 11, 2015	Milton Keynes Theatre	Milton Keynes, United Kingdom	 I Was There
Aug 09, 2015	Middlesbrough Town Hall	Middlesbrough, United Kingdom	 I Was There
Aug 08, 2015	clyde auditotium	Glasgow, United Kingdom	 I Was There
Aug 07, 2015	Alhambra Theatre	Dunfermline, United Kingdom	 I Was There
Aug 01, 2015	Leas Cliff Hall	Folkestone, United Kingdom	 I Was There	
Jul 31, 2015	Charter Hall	Colchester, United Kingdom	 I Was There
Jul 30, 2015	Ipswich Regent Theatre	Ipswich, United Kingdom	 I Was There
Jul 14, 2015	The Flycatcher	Tucson, AZ	 I Was There
Jul 11, 2015	Sunderland Empire	Sunderland, United Kingdom	 I Was There
Jul 10, 2015	Derby Arena	Derby, United Kingdom	 I Was There
Jul 07, 2015	Hexagon Reading	Reading, United Kingdom	 I Was There
Jul 05, 2015	Playhouse Theatre Edinburgh	Edinburgh, United Kingdom	 I Was There
Jul 04, 2015	Symphony Hall	Birmingham, United Kingdom	 I Was There
Jul 03, 2015	Town Hall Leeds	Leeds, United Kingdom	 I Was There
Jun 27, 2015	Manchester Apollo	Manchester, United Kingdom	 I Was There
Jun 26, 2015	Warwick Arts Centre	Coventry, United Kingdom	 I Was There
Jun 20, 2015	Cambridge Corn Exchange	Cambridge, United Kingdom	 I Was There
Jun 19, 2015	Sheffield City Hall	Sheffield, United Kingdom	 I Was There
Jun 06, 2015	O2 Academy Brixton	London, United Kingdom	 I Was There
Jun 05, 2015	Colston Hall	Bristol, United Kingdom	 I Was There
May 30, 2015	Symphony Hall	Birmingham, United Kingdom	 I Was There
May 20, 2015	Crescent Ballroom	Phoenix, AZ	 I Was There
May 16, 2015	Doncaster Dome	Doncaster, United Kingdom	 I Was There
May 09, 2015	The Royal Hall	Harrogate, United Kingdom	 I Was There
May 01, 2015	Nottingham Royal Concert Hall	Nottingham, United Kingdom	 I Was There	
Apr 25, 2015	eventim apollo	London, United Kingdom	 I Was There
Apr 24, 2015	eventim apollo	London, United Kingdom	 I Was There
Apr 18, 2015	Colston Hall	Bristol, United Kingdom	 I Was There
Apr 17, 2015	O2 Apollo Manchester	Manchester, United Kingdom	 I Was There
Apr 12, 2015	Stockholm Waterfront	Stockholm, Sweden	 I Was There
Mar 27, 2015	Newcastle City Hall	Newcastle Upon Tyne, United Kingdom	 I Was There
Mar 14, 2015	clyde auditotium	Glasgow, United Kingdom	 I Was There
Mar 13, 2015	clyde auditotium	Glasgow, United Kingdom	 I Was There
Mar 10, 2015	Hexagon Reading	Reading, United Kingdom	 I Was There
Mar 06, 2015	Perth Theatre and Concert Hall	Perth, United Kingdom Of Great Britain And Northern Ireland	 I Was There
Mar 03, 2015	Milton Keynes Theatre	Milton Keynes, United Kingdom	 I Was There
Feb 24, 2015	Cheltenham Town Hall	Cheltenham, United Kingdom	 I Was There
Feb 21, 2015	Warwick Arts Centre	Coventry, United Kingdom	 I Was There
Feb 20, 2015	O2 Apollo Manchester	Manchester, United Kingdom	 I Was There
Feb 15, 2015	Olympia Theatre	Dublin, Ireland	 I Was There
Feb 14, 2015	Olympia Theatre	Dublin, Ireland	 I Was There
Feb 13, 2015	Olympia Theatre	Dublin, Ireland	 I Was There
Feb 10, 2015	Southend Cliffs Pavilion	Westcliff On Sea, United Kingdom	 I Was There
Feb 06, 2015	De Montfort Hall	Leicester, United Kingdom	 I Was There
Feb 03, 2015	Leas Cliff Hall	Folkestone, United Kingdom	 I Was There	
Dec 19, 2014	Portsmouth Guildhall	Portsmouth, United Kingdom	 I Was There
Dec 13, 2014	Civic Hall	Wolverhampton, United Kingdom	 I Was There
Dec 12, 2014	Nottingham Royal Concert Hall	Nottingham, United Kingdom	 I Was There
Dec 06, 2014	Corn Exchange, Cambridge	Cambridge, United Kingdom	 I Was There
Dec 05, 2014	New Theatre Oxford	Oxford, United Kingdom	 I Was There
Nov 29, 2014	St George's Hall	Bradford, United Kingdom	 I Was There
Nov 25, 2014	Royal & Derngate	Northampton, United Kingdom	 I Was There
Nov 22, 2014	Middlesbrough Town Hall	Middlesbrough, United Kingdom	 I Was There
Nov 21, 2014	Hull City Hall	Hull, United Kingdom	 I Was There
Nov 18, 2014	Anvil	Basingstoke, United Kingdom	 I Was There
Nov 11, 2014	The New Victoria	Woking, United Kingdom	 I Was There
Nov 08, 2014	Corn Exchange, Cambridge	Cambridge, United Kingdom	 I Was There
Nov 07, 2014	Lighthouse/Pool Arts Centre	Poole, United Kingdom	 I Was There
Nov 04, 2014	Cheltenham Town Hall	Cheltenham, United Kingdom	 I Was There
Nov 01, 2014	Grimsby Auditorium	Grimsby, United Kingdom	 I Was There
