Date	Venue	Location	Ignore
Oct 21	Kansas Star Event Center Arena	Mulvane, KS	 I Was There
Sep 16	Jeff & Larry's Backyard BBQ	Cary, NC	 I Was There
Sep 15	Jeff & Larry's Backyard BBQ	Charlotte, NC	 I Was There
Sep 09	York Fair	York, PA	 I Was There
Sep 08	Allegan County Fair	Allegan, MI	 I Was There
Sep 01	Beau Rivage Biloxi - 10pm	Biloxi, MS	 I Was There
Sep 01	Beau Rivage Biloxi - 7pm	Biloxi, MS	 I Was There
Aug 26	Jeff & Larry's Backyard BBQ	Noblesville, IN	 I Was There
Aug 25	Jeff & Larry's Backyard BBQ	Clarkston, MI	 I Was There
Aug 20	Jeff & Larry's Backyard BBQ	Albuquerque, NM	 I Was There
Aug 19	Jeff & Larry's Backyard BBQ	Englewood, CO	 I Was There
Aug 18	Jeff & Larry's Backyard BBQ	West Valley City, UT	 I Was There
Aug 14	Erie County Fair	Hamburg, NY	 I Was There
Jul 16	Scotiabank Saddledome	Calgary, Canada	 I Was There
Jun 30	Lazy Rockin' Stirrup Country Music Festival	Paulina, OR	 I Was There
Apr 29	Fox Theatre - 8pm	Atlanta, GA	 I Was There
Apr 29	Fox Theatre - 5pm	Atlanta, GA	 I Was There
Apr 28	Denny Sanford PREMIER Center	Sioux Falls, SD	 I Was There
Apr 23	Ryman Auditorium	Nashville, TN	 I Was There
Apr 22	Taco Bell Arena	Boise, ID	 I Was There
Apr 21	Broadmoor World Arena	Colorado Springs, CO	 I Was There
Apr 15	Bok Center	Tulsa, OK	 I Was There
Apr 14	FedExForum	Memphis, TN	 I Was There
Apr 08	Molson Canadian Centre - 8pm	Moncton, NB	 I Was There
Apr 08	Molson Canadian Centre - 5pm	Moncton, Canada	 I Was There
Apr 07	Scotiabank Centre	Halifax, Canada	 I Was There
Apr 06	Canadian Tire Centre	Ottawa, Canada	 I Was There
Apr 01	Central National Bank Center - 8pm	Enid, OK	 I Was There
Apr 01	Central National Bank Center - 5pm	Enid, OK	 I Was There
Mar 31	Pinnacle Bank Arena	Lincoln, NE	 I Was There
Mar 26	NYCB Theatre at Westbury	Wesbury, NY	 I Was There
