Date	Venue	Location	Ignore
Nov 16	The Wilbur	Boston, MA	 I Was There
Nov 15	The Wilbur	Boston, MA	 I Was There
Nov 12	Arvest Bank Theatre at The Midland	Kansas City, MO	 I Was There
Nov 11	The Buell Theatre	Denver, CO	 I Was There
Nov 10	Queen Elizabeth Theatre	Vancouver, Canada	 I Was There
Nov 05	DAR Constitution Hall	Washington, DC	 I Was There
Nov 04	DAR Constitution Hall	Washington, DC	 I Was There
Nov 03	DAR Constitution Hall	Washington, DC	 I Was There
Nov 02	Altria Theater	Richmond, VA	 I Was There
Nov 01	Keith Albee Theater	Huntington, WV	 I Was There
Oct 20	Aronoff Center for the Arts	Cincinnati, OH	 I Was There
Oct 19	Peabody Opera House	St Louis, MO	 I Was There
Oct 18	Louisville Palace	Louisville, KY	 I Was There
Oct 17	The Orpheum Theatre Memphis	Memphis, TN	 I Was There
Oct 15	Mahalia Jackson Theater for the Performing Arts	New Orleans, LA	 I Was There
Oct 14	Revention Music Center	Houston, TX	 I Was There
Oct 13	ACL Live at the Moody Theater	Austin, TX	 I Was There
Oct 12	Bass Concert Hall	Austin, TX	 I Was There
Oct 05	Louise M. Davies Symphony Hall	San Francisco, CA	 I Was There
Oct 04	Louise M. Davies Symphony Hall	San Francisco, CA	 I Was There
Oct 01	Hard Rock Live Orlando	Orlando, FL	 I Was There
Sep 30	Cobb Energy Performing Arts Centre	Atlanta, GA	 I Was There
Sep 29	Ziff Ballet Opera House-Adrienne Arsht PAC	Miami, FL	 I Was There
Sep 28	Mahaffey Theater	Saint Petersburg, FL	 I Was There
Sep 24	The Fillmore Detroit	Detroit, MI	 I Was There
Sep 23	The Fillmore Detroit	Detroit, MI	 I Was There
Sep 21	The Second City	Toronto, Canada	 I Was There
Sep 15	Riverside Theatre	Milwaukee, WI	 I Was There
Sep 14	Northrop	Minneapolis, MN	 I Was There
Sep 09	Pikes Peak Center	Colorado Springs, CO	 I Was There
Jul 29	L'Olympia	Montréal, Canada	 I Was There
Jul 28	Flynn Center For the Performing Arts	Burlington, VT	 I Was There
Jul 27	The Palace Theatre Albany	Albany, NY	 I Was There
Jul 26	The Paramount	Huntington, NY	 I Was There
Jul 25	Count Basie Theatre	Red Bank, NJ	 I Was There
Jul 23	Grand Opera House-DE	Wilmington, DE	 I Was There
Jul 22	Music Box at the Borgata	Atlantic City, NJ	 I Was There
Jul 21	Sands Bethlehem Event Center	Bethlehem, PA	 I Was There
Jul 20	Grand Opera House	Wilmington, DE	 I Was There
Jul 14	William Saroyan Theatre Fresno Convention & Entertainment Center	Fresno, CA	 I Was There
