Date	Venue	Location	Ignore
Nov 25	The Main Room	West Hollywood, CA	 I Was There
Nov 24	Hollywood Improv	Hollywood, CA	 I Was There
Nov 23	The Original Room	West Hollywood, CA	 I Was There
Nov 22	Hollywood Improv	Hollywood, CA	 I Was There
Nov 21	The Main Room	West Hollywood, CA	 I Was There
Nov 18	Hollywood Improv	Hollywood, CA	 I Was There
Nov 17	The Main Room	West Hollywood, CA	 I Was There
Nov 16	Hollywood Improv	Hollywood, CA	 I Was There
Nov 15	The Main Room	West Hollywood, CA	 I Was There
Nov 12	The Belly Room	West Hollywood, CA	 I Was There
Nov 11	The Original Room	West Hollywood, CA	 I Was There
Nov 10	The Main Room	West Hollywood, CA	 I Was There
Nov 09	The Original Room	West Hollywood, CA	 I Was There
Nov 05	The Original Room	West Hollywood, CA	 I Was There
Nov 02	Hollywood Improv	Hollywood, CA	 I Was There
Nov 01	The Main Room	West Hollywood, CA	 I Was There
Oct 19	Hollywood Improv	Hollywood, CA	 I Was There
Oct 18	The Main Room	West Hollywood, CA	 I Was There
Oct 15	The Original Room	West Hollywood, CA	 I Was There
Oct 14	Hollywood Improv	Hollywood, CA	 I Was There
Oct 13	The Original Room	West Hollywood, CA	 I Was There
Oct 07	Hollywood Improv	Hollywood, CA	 I Was There
Oct 06	The Original Room	West Hollywood, CA	 I Was There
Oct 05	The Original Room	West Hollywood, CA	 I Was There
Oct 04	Hollywood Improv	Hollywood, CA	 I Was There
Oct 03	Gramercy Theatre	New York, NY	 I Was There
Sep 30	The Main Room	West Hollywood, CA	 I Was There
Sep 29	Hollywood Improv	Hollywood, CA	 I Was There
Sep 28	Hollywood Improv	Hollywood, CA	 I Was There
Sep 27	Hollywood Improv	Hollywood, CA	 I Was There
Sep 23	The Main Room	West Hollywood, CA	 I Was There
Sep 22	The Main Room	West Hollywood, CA	 I Was There
Sep 21	Hollywood Improv	Hollywood, CA	 I Was There
Sep 20	Hollywood Improv	Hollywood, CA	 I Was There
Sep 16	Hollywood Improv	Hollywood, CA	 I Was There
Sep 15	Largo at the Coronet	Los Angeles, CA	 I Was There
Sep 13	The Original Room	West Hollywood, CA	 I Was There
Sep 09	Hollywood Improv	Hollywood, CA	 I Was There
