Date	Venue	Location	Ignore
Nov 05	Largo at the Coronet	Los Angeles, CA	 I Was There
Oct 25	O2 Forum	London, United Kingdom	 I Was There
Oct 08	Largo at the Coronet	Los Angeles, CA	 I Was There
Sep 15	KAABOO Del Mar	Del Mar, CA	 I Was There
Jun 10	Orpheum Theater	Madison, WI	 I Was There
May 31	Orpheum Theater	Madison, WI	 I Was There
May 30	Irvine Improv	Irvine, CA	 I Was There
May 23	Irvine Improv	Irvine, CA	 I Was There
May 22	Irvine Improv	Irvine, CA	 I Was There
May 21	Largo at the Coronet	Los Angeles, CA	 I Was There
May 02	Arlene Schnitzer Concert Hall	Portland, OR	 I Was There
Apr 30	Largo at the Coronet	Los Angeles, CA	 I Was There
Apr 23	Largo at the Coronet	Los Angeles, CA	 I Was There
Apr 19	Ryman Auditorium	Nashville, TN	 I Was There
Apr 18	Irvine Improv	Irvine, CA	 I Was There
Apr 17	Irvine Improv	Irvine, CA	 I Was There
Mar 25	The Masonic	San Francisco, CA	 I Was There
Mar 24	Paramount Theatre	Seattle, WA	 I Was There
Mar 19	Largo at the Coronet	Los Angeles, CA	 I Was There
Mar 14	Oxnard Levity Live	Oxnard, CA	 I Was There	
Mar 13	Oxnard Levity Live	Oxnard, CA	 I Was There
Mar 03	Warner Theatre	Washington, DC	 I Was There
Feb 24	Palace Theatre Columbus	Columbus, OH	 I Was There
Feb 21	Irvine Improv	Irvine, CA	 I Was There
Feb 20	Irvine Improv	Irvine, CA	 I Was There
Feb 12	Largo at the Coronet	Los Angeles, CA	 I Was There
Jan 15	Largo at the Coronet	Los Angeles, CA	 I Was There
Jan 08	Largo at the Coronet	Los Angeles, CA	 I Was There
Dec 20, 2016	Irvine Improv	Irvine, CA	 I Was There
Dec 19, 2016	Irvine Improv	Irvine, CA	 I Was There
Dec 18, 2016	Largo at the Coronet	Los Angeles, CA	 I Was There
Dec 03, 2016	Duke Energy Center for the Performing Arts	Raleigh, NC	 I Was There
Nov 15, 2016	Irvine Improv	Irvine, CA	 I Was There
Nov 13, 2016	Largo at the Coronet	Los Angeles, CA	 I Was There
Nov 11, 2016	Mystic Lake Casino Hotel	Prior Lake, MN	 I Was There
Nov 04, 2016	College Street Music Hall.	New Haven, CT	 I Was There
Nov 03, 2016	Beacon Theatre	New York, NY	 I Was There
Oct 29, 2016	Shrine Expo Hall & Grounds	Los Angeles, CA	 I Was There
May 24, 2016	Largo at the Coronet	Los Angeles, CA	 I Was There
Apr 30, 2016	Largo at the Coronet	Los Angeles, CA	 I Was There	
Apr 29, 2016	Kaufmann Concert Hall at 92nd Street Y	New York, NY	 I Was There
Mar 27, 2016	Largo at the Coronet	Los Angeles, CA	 I Was There
Mar 20, 2016	Largo at the Coronet	Los Angeles, CA	 I Was There
Feb 18, 2016	Largo at the Coronet	Los Angeles, CA	 I Was There
Feb 16, 2016	The GRAMMY Museum	Los Angeles, CA	 I Was There
Jan 31, 2016	The Regent Theater DTLA	Los Angeles, CA	 I Was There
Jan 30, 2016	The Riverside Theater	Milwaukee, WI	 I Was There
Jan 23, 2016	Mahalia Jackson Theer	New Orleans, LA	 I Was There
Oct 24, 2015	Largo at the Coronet	Los Angeles, CA	 I Was There
Oct 18, 2015	The Fillmore	San Francisco, CA	 I Was There
Sep 26, 2015	Largo at the Coronet	Los Angeles, CA	 I Was There
Sep 20, 2015	Largo at the Coronet	Los Angeles, CA	 I Was There
Sep 13, 2015	Mahalia Jackson Theater for the Performing Arts	New Orleans, LA	 I Was There
Aug 15, 2015	Largo at the Coronet	Los Angeles, CA	 I Was There
Jul 18, 2015	Largo at the Coronet	Los Angeles, CA	 I Was There
Feb 23, 2015	Largo at the Coronet	Los Angeles, CA	 I Was There
Jan 14, 2015	The Orpheum	Madison, WI	 I Was There
Jan 11, 2015	Sixth & I Historic Synagogue	Washington, DC	 I Was There
Dec 20, 2014	Largo at the Coronet	Los Angeles, CA	 I Was There
Nov 15, 2014	Largo at the Coronet	Los Angeles, CA	 I Was There
Oct 25, 2014	Largo at the Coronet	Los Angeles, CA	 I Was There
Oct 18, 2014	Largo at the Coronet	Los Angeles, CA	 I Was There
Sep 13, 2014	Largo at the Coronet	Los Angeles, CA	 I Was There
May 17, 2014	Largo at the Coronet	Los Angeles, CA	 I Was There
Apr 19, 2014	Largo at the Coronet	Los Angeles, CA	 I Was There
Mar 15, 2014	Largo at the Coronet	Los Angeles, CA	 I Was There
Feb 15, 2014	Largo at the Coronet	Los Angeles, CA	 I Was There
Jan 11, 2014	Largo at the Coronet	Los Angeles, CA	 I Was There
Jan 04, 2014	Largo at the Coronet	Los Angeles, CA	 I Was There
Dec 09, 2013	Largo at the Coronet	Los Angeles, CA	 I Was There
Dec 01, 2013	Largo at the Coronet	Los Angeles, CA	 I Was There
Jul 09, 2013	The Satellite	Los Angeles, CA	 I Was There
Dec 04, 2012	The Ricardo Montalbán Theatre	Hollywood, CA	 I Was There
May 14, 2011	Moore Theatre	Seattle, WA	 I Was There
Apr 29, 2011	Rialto Theatre	Tucson, AZ	 I Was There
